,0
0,"Open World,Post-apocalyptic,Exploration,Singleplayer,RPG,Atmospheric,Adventure,Shooter,First-Person,Story Rich,Action,Sci-fi,FPS,Action RPG,Sandbox,Great Soundtrack,Third Person,Survival,Third-Person Shooter,Casual"
1,"Zombies,Co-op,FPS,Multiplayer,Shooter,Action,Online Co-Op,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Replay Value,Local Co-Op,Tactical"
2,"Nudity,Mature,Anime,Sexual Content,Dating Sim,Puzzle,Match 3,Romance,Singleplayer,Cute,Comedy,Indie,RPG,Casual,Story Rich,Strategy,Great Soundtrack,Memes,2D,Point & Click"
3,"Free to Play,Action RPG,Hack and Slash,RPG,Multiplayer,Massively Multiplayer,Loot,Action,Fantasy,MMORPG,Adventure,Dungeon Crawler,Online Co-Op,Indie,Dark Fantasy,Co-op,PvE,Character Customization,Inventory Management,Fishing"
4,"Building,Simulation,Physics,Puzzle,Singleplayer,Sandbox,Indie,Strategy,Difficult,Funny,Great Soundtrack,Casual,Early Access,Education,Level Editor,Crime,Crafting,Family Friendly,Open World,Adventure"
5,"Zombies,Co-op,FPS,Multiplayer,Action,Shooter,Online Co-Op,Horror,Team-Based,First-Person,Survival,Post-apocalyptic,Singleplayer,Atmospheric,Adventure,Tactical,Competitive,Moddable,Replay Value,Female Protagonist"
6,"Free to Play,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting,Moddable"
7,"Adventure,Action,Female Protagonist,Third Person,Lara Croft,Singleplayer,Third-Person Shooter,Story Rich,Exploration,Multiplayer,Quick-Time Events,Atmospheric,Action-Adventure,Shooter,Stealth,Puzzle,Cinematic,Platformer,Masterpiece,RPG"
8,"RPG,Turn-Based,Strategy,Tactical,Turn-Based Strategy,Indie,Story Rich,Fantasy,Great Soundtrack,Kickstarter,Tactical RPG,Choices Matter,Hand-drawn,Atmospheric,2D,Singleplayer,Crowdfunded,Strategy RPG,Masterpiece,Adventure"
9,"FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Masterpiece,Shooter,First-Person,Alternate History,Beautiful,Adventure,Great Soundtrack,Dystopian,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG"
10,"Open World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,Satire"
11,"Free to Play,Massively Multiplayer,Pixel Graphics,RPG,Perma Death,Multiplayer,Bullet Hell,MMORPG,Action,2D,Rogue-like,Open World,Indie,Difficult,Adventure,Co-op,Survival,Retro,Strategy,Casual"
12,"Free to Play,RPG,Massively Multiplayer,MMORPG,Indie,Open World,Casual,Adventure,Fantasy,Crafting,Action,Singleplayer"
13,"Free to Play,MOBA,Multiplayer,Strategy,e-sports,Team-Based,Competitive,Action,Online Co-Op,PvP,Difficult,Co-op,RTS,Tower Defense,Fantasy,RPG,Character Customization,Replay Value,Action RPG,Simulation"
14,"Free to Play,Robots,Building,Multiplayer,Action,Shooter,PvP,Massively Multiplayer,Sandbox,Crafting,Third-Person Shooter,Sci-fi,Strategy,Simulation,Early Access,Indie,Open World,Funny,Adventure,RPG"
15,"Sandbox,Multiplayer,Funny,Moddable,Building,Comedy,Co-op,First-Person,Mod,Simulation,Physics,Online Co-Op,FPS,Singleplayer,Action,Shooter,Animation & Modeling,Indie,Massively Multiplayer,Adventure"
16,"Action,Horror,Third Person,Adventure,Story Rich,Thriller,Atmospheric,Singleplayer,Psychological Horror,Great Soundtrack,Mystery,Episodic,Third-Person Shooter,Dark,Supernatural,Masterpiece,Cinematic,Narration,Survival Horror,Shooter"
17,"Detective,Crime,Noir,Open World,Adventure,Story Rich,Third Person,Mystery,Investigation,Cinematic,Singleplayer,Action,Atmospheric,Mature,Masterpiece,Nudity,Puzzle,Third-Person Shooter,Strategy,Thriller"
18,"Early Access,Survival,Zombies,Open World,Crafting,Multiplayer,Sandbox,Building,Co-op,Survival Horror,Adventure,Action,Early Access,Horror,Online Co-Op,FPS,Singleplayer,RPG,Indie,Gore"
19,"Fighting,Indie,2D Fighter,Parody,Local Multiplayer,Action,e-sports,Local Co-Op,Funny,2D,Comedy,Multiplayer,Competitive,Controller,Arcade,Casual"
20,"JRPG,RPG,Classic,Turn-Based,Story Rich,Singleplayer,Great Soundtrack,Fantasy,Masterpiece,Retro,Adventure,Open World,Sci-fi,Party-Based RPG,Epic,Cyberpunk,Atmospheric,Exploration,Dystopian,Strategy"
21,"Tower Defense,Co-op,Action,Strategy,Online Co-Op,Indie,Third Person,Fantasy,Multiplayer,Funny,Comedy,Third-Person Shooter,Singleplayer,Cartoony,RPG,Shooter,Adventure,Female Protagonist,Great Soundtrack,Controller"
22,"FPS,Zombies,Co-op,Survival,Horror,Action,Multiplayer,Online Co-Op,Gore,Shooter,Team-Based,First-Person,Survival Horror,Moddable,Great Soundtrack,Class-Based,Singleplayer,Difficult,Comedy,Adventure"
23,"Strategy,World War II,RTS,Action,War,Multiplayer,Violent,Singleplayer,Tactical,Historical,Military,Classic,Co-op,Base Building"
24,"Great Soundtrack,Indie,Action,Narration,Singleplayer,RPG,Hack and Slash,Story Rich,Dynamic Narration,Isometric,Adventure,Action RPG,Masterpiece,Fantasy,Atmospheric,Colorful,Post-apocalyptic,Music,2D,Twin Stick Shooter"
25,"Great Soundtrack,Story Rich,Choices Matter,Funny,Multiple Endings,Pixel Graphics,RPG,Singleplayer,Indie,Comedy,2D,Replay Value,Cute,Bullet Hell,Memes,Retro,Dark,Psychological Horror,Dating Sim,Horror"
26,"Tower Defense,Action,Strategy,Third Person,Fantasy,Singleplayer,Indie,Comedy,Funny,Third-Person Shooter,Cartoony,Magic,Score Attack,Shooter,Great Soundtrack,Multiplayer,Addictive,Adventure,RPG,Arcade"
27,"Fighting,2D Fighter,Arcade,Action,Competitive,Anime,Local Multiplayer,Multiplayer,2D,Great Soundtrack,Controller,Singleplayer,Beat 'em up,Classic,Female Protagonist"
28,"Fighting,2D Fighter,Anime,Great Soundtrack,Action,Arcade,Local Multiplayer,Competitive,e-sports,2D,Singleplayer,Controller,Difficult,Masterpiece,Multiplayer"
29,"Fighting,2D Fighter,Indie,Anime,Multiplayer,2D,Great Soundtrack,Action,Female Protagonist,Competitive,Local Multiplayer,Crowdfunded,Cute,Hand-drawn,Cartoon,Arcade,Controller,Singleplayer,Beat 'em up,Nudity"
30,"Fighting,2D Fighter,Great Soundtrack,Anime,Action,Arcade,Masterpiece,Multiplayer"
31,"Platformer,Comedy,Adventure,Cult Classic,Singleplayer,Action,Third Person,Funny,3D Platformer,Classic,Psychological,Story Rich,Masterpiece,Exploration,Surreal,Cartoony,Great Soundtrack,Action-Adventure,3D,Indie"
32,"Simulation,Strategy,Management,City Builder,Transportation,Sandbox,Economy,Building,Singleplayer,Multiplayer,Trains,Co-op,Masterpiece"
33,"Strategy,World War II,RTS,Multiplayer,Tactical,Historical,War,Military,Singleplayer,Co-op,Online Co-Op,Tanks,Action,Real-Time,Base Building,Real-Time with Pause,Atmospheric,Simulation,Great Soundtrack,Masterpiece"
34,"Comedy,Co-op,Action,Fantasy,Online Co-Op,Multiplayer,RPG,Magic,Adventure,Funny,Local Co-Op,4 Player Local,Indie,Local Multiplayer,Difficult,Singleplayer,Masterpiece,Team-Based,Action RPG,Arcade"
35,"Multiplayer,Strategy,FPS,Team-Based,Action,Sci-fi,RTS,Aliens,Indie,Competitive,Shooter,Co-op,Moddable,Tactical,First-Person,Space,Futuristic,Atmospheric,Online Co-Op,Adventure"
36,"Tower Defense,Strategy,FPS,Co-op,Action,Indie,Sci-fi,Multiplayer,First-Person,Online Co-Op,Shooter,Female Protagonist,Singleplayer,Casual,Great Soundtrack,Futuristic,Adventure,Tactical,Survival,Open World"
37,"Tower Defense,FPS,Co-op,Strategy,Action,Indie,Online Co-Op,Sci-fi,Multiplayer,First-Person,Shooter,Singleplayer,Survival,Futuristic,Aliens,Female Protagonist,Great Soundtrack,RPG,Funny,Adventure"
38,"Open World,Action,Multiplayer,Third Person,First-Person,Crime,Shooter,Adventure,Third-Person Shooter,Singleplayer,Mature,Racing,Atmospheric,Co-op,Sandbox,Funny,Great Soundtrack,Comedy,Masterpiece,Moddable"
39,"FPS,Realistic,Tactical,Multiplayer,Shooter,Action,Military,Team-Based,Co-op,First-Person,Strategy,War,Online Co-Op,Competitive,Indie,Simulation,PvP,Atmospheric,Singleplayer,Adventure"
